,0
0,
1,관객에게 미끼를 던진 영화  누가 황정민 연기 지겹다고 했냐 이렇게 소름돋게 연기하는 배운데  
2,반전에반전감독한테놀아난느낌  
3,나감독 숨은 쉬게해줘야지  정신적으로 너무 안좋다  
4,할말없는 영화임본사람은 공감할듯무섭고 잔인하고 징그럽고 소름끼치는 반전까지 고루 갖췄지만 그 모든걸 넘어서는 찝찝함  
5,어이없어서 웃기고 그냥 보고난후 뭐지이느낌  
6,보는 내내 골룸 생각났음ㅋㅋ  오늘 개봉 오후 5시뷰터인데 뭘 조조부터 보고왔대 조조 영화시간표에 곡성없어 지금 보고왔다고 하는놈들 알바임 알바도 쓰려면 지능이 높아야지 서울 및 수도권 영화 개봉시간이 오후 5시인대 보고왔다고 구라까면 되나  
7,현혹된 자만이 느낄수 있는 공포 그리고 후유증  영화 끝나고 입에서 자연스레 이게 뭐야 라는 말이 나왔다그래서 도대체 하고 싶은 말이 무엇인가  
8,긴장감만점 다만9점을준건 결말이 너무모호하다 개연성도 부족한거같고 천우희가도와준이유황전민정체할배가천우희쫓아뛰는이유 등등 감독한테직접물어보고싶은게많다  
9,정말로 곡소리 나오는 영화 222  많이들 당황하셨죠 예저도 많이 당황했는데요 하하  대한민국 시골 대나무밭에서 좀비가 왠말 입니까  검은사제들 같은 엑소시스트 줄거리에 추격자보다 더 많이 죽이고 피범벅임 15세 관람가 준 인간들 진짜 반성하고 감독은 정신과 전문의 만나보기 바란다  이것저것 짬뽕시켜서 이리저리 꼬다가 에라모르겟다 될디로 되라  
10,난해한거 싫어하시는 분들 비추천 불친절한 영화 싫어하시는 분들 비추천 의미부여 된거 일명 떡밥 해석하는거 싫어하시는 분들 비추천 그냥 별 생각않고 영화 즐기고픈 분들이 볼만 한 영화는 아님 그런 분들이 이 
11,엔딩크레딧이 올라갈때 사람들의 반응은 절반은 욕하고 절반은 벙찐 상태가 된다 개인적으로 결국 영화에대한 생각은 계속 맴돌더라 찝찝함인지 궁금함인지 아직도 잘 모르겠다  관객을 속이기 위해 억지 설정 투성이다 앞 뒤 개연성도 부족하다 이것저것 막 섞어놓고 해결책을 찾지 못한채 에라 모르겠다 끝내자 이런식이다 황정민의 무당연기 말고는 볼거없음 알바와 언론에 현혹되지 마라  절때 보지미세요 후회합니다내용을 미스터리로 최고조 까지 끌어올려놓고 아무것도 설명안해주고 반전만 선사하고 엔딩크레딧이 올라가네요 진심 자극적이게만 만들아놓고 명작소리 듣네  내가진짜  처음 평점쓰는데진짜 좀비물이냐 귀신영화냐ㅎㅎㅎ 철학적으로 풀지마라ㅋㅋㅋ  이딴 영화  태어나 처음으로 평점 남겨보네요매우몹시엄청나게극도로어마어마하게대단히 화가 나고 불쾌하고 불쾌하고 불쾌한 영화였네요 아직 안 보신 분 그 눈 사고 싶어요 정말 트라우마 남았습니다 정신건강에도 몹시 해 정말 기대이하에요 비위만 상하고 좀비물인줄 알았네요  반전에 목매달았나 반전이 너무 황당함 공산당이랑 국군이랑 싸우는데 미군이 나타나서 공산당이랑 국군이 서로 한패다 하는 수준  156분동안 진정 괴로웠다 이게 뭐니  홍길동이 알바풀었네ㅋㅋㅋㅋ 비교가되냐 솔직히 적당히하자 양심도 없냐  
12,초반엔 범인찾고 추리하는 스릴런줄 알았더만 생각해보니 그것도 일단은 맞네 미끼를 내가 물었구나  빈수레가 요란하다 이 말처럼 이 영화를 잘 표현하는 말은 없을듯  나 진짜 어이가 없어서 내일 회사가야하는데 내가 이걸 몇일전부터 예매해서 기다린 내가 바보다 답답하고 짜증나는 영화다 진짜로  솔직히 무슨재민지 하나도 모르겠다 시간날리고 온 기분  인류 역사상 가장 끔찍한 영화일 겁니다 이런 걸 완성해 놓고  박수 치고 좋아했을 제작진을 생각하니 그게 더 오싹한 장면입니다 대체 무슨 멘탈일까 보는 내내 욕이 나오고 구역질이 나옵니다 세기말적 영화입니다 
13,잘만들었지만 관람은 비추입니다  
14,성인배우는 물론 아역연기가아주후기 신경안쓰고 보고싶으면 보고 후회는 절대 안하실듯  내가 이걸 내돈주고 보게되다니  최악의 좀비영화입니다  제발 이 영화 볼 돈으로 곱창사드세요  친구랑 진짜 재미있게 놀았는데뭐하고 놀았는지 모르는 느낌  살면서 영화 평점 처음 남겨봅니다 진짜 1점도 아까운 영화입니다 평론가도 알바가 있다는 말에 공감 백배 걍 동서양막론하고 무섭다는것들 다 넣어서 정말 다나옵니다 공포영화 좋아하는데 이영화에 10점을 줬다는 진심 재미없다  이거 만들려고 황정민 캐스팅했냐  사십칠년 내 인생 최악의 영화 보는 내내 불편하고 마지막까지 찝찝했다 돈과 시간이 아까울 뿐 이런 영화는 세금 엄청 내고 상영관에 걸어야 한다 건전한 정서를 가진 사람도 미치게 만들 것 같다 좀비에 악마에  이런 쓰레기 영화가 평점이 높게 나오다니 스토리에 개연성없이 그냥 화면 연출 리듬감으로만 이끌어 가는 영화 나중에는 웃음이 나옴 그냥 변태감독을 위한 변태작품  급 오컬트 영화에 탑배우 캐스팅한 그런 느낌 보는 내내 악마 눈 때문에 진짜 급영화보는줄  빈 수레가 요란한 법이다  살인영화냐 좀비영화냐 종교영화냐 귀신영화냐 악령영화냐 뭔아무리 생각을 해봐도  진심 뭐냐  별 6점 줬다가 다시 평점 씀 납득이 안간다 납득이 개연성 없어 보이려고 최대한 노력했지만 이해 안가게 만든다고 작품성 높은건 아니지 않나  몰입감은 높지만 어이가 없다 잔뜩 풀어놨는데 왜 풀어놨는지  내가올해본 영화중 최악의 영화 베스트임 재미 오지게없음 갠적차이지만 이게 어떻게 캡틴을 누를수 있는거지   여러분의 정서와 심장을 놀래키지마세요돈주고 찜찜함만 남습니다 이게 왜 15세냐 중고생들 보라고  
15,감독 이름부터 외웠다 다음부턴 안보려고  
16,되게 토론하고싶은 영화   진짜 나랑같이 봤던 관객들붙잡아서 의견을 묻고싶은 영화  아 돈아깝9000원이나 주고 보기엔 아깝다내가 본 영화중에 가장 돈 아까운 영화 중 배스트 오브 베스트다 창수 이후로 쓰레기다황정민 보고 봤는데영화 진짜 스토리 엉망이다반전을 주려고 노력한 것 같다 
17,15세의 황해 좀비 엑소시스트 이런 거 싫어하는 사람은 보지마세요 구역질납니다  정신건강에 해로운 영화인듯 하네요 관객들 헷갈리게 하려고 반전의 반전의 반전의 반전을 계속 돌리는데 그반전에 대한 풀이는 없고 찝찝한 마음만 남게하는 영화  급 악마영화임 악마에 좀비에 귀신에 짬뽕시켜놓았음 왜 이런 영화가 꼭 한국영화대표로 영화제에 나가야 하는지 정말 어이상실너무 광고를 많이 해서 기대했다가 그만큼 실망함 곡성사람이 불쌍함 곡성에 꿀발라놨는 현혹되지 마라 평점에미끼를 물었다 평점이란  
18,끊임없이 의심하게 만드는 영화  
19,무슨영화인지 모르겟다  
20,살인의추억콘스탄틴새벽의저주디아더스추격자박수무당  
21,배우들의 연기력과 숨을 조여오는 연출이 훌륭합니다근데 그게 다 내용과는 상관 없이 오로지 관객을 속여먹으려는 의도라는게 기가 막힙니다  뭐지 뭘까 시간낭비 돈낭비  적당히들 합시다 시사회에서f다고하면 이해할테지만 개봉해서f단 알바트로스들 17시부터 개봉인대 벌써부터 시작질이냐 저런넘들땜에  더 보기싫어병  최악최악당했다진짜진심  
22,몰입감 장난 아니네요 2시간 반이 길게 안느껴져요 다보고 나오는데 뭔가 지침ㅎㅎ 근데 좀 난해해서 한번 더 봐야겠음  알바천국이네 ㅋㅋㅋㅋ  건대에서 이 영화 보러 갔다가 예전 여친 우연히 마주쳐서 더 기억에 남음  비추 테러하라고 지령 떨어졌냐정상적인 글에도 비추 10개씩은 기본이네  
23,이상해요 무슨장르에요 이게  
24,내용도 없고 잔인한 장면만 많네요 부성애를 자극하려면 결말이라도 잘 내던가하지 배우의 연기력은 최고 평점이지만 스토리는 정말 아닌듯 합니다 보고 기분나쁜영화였습니다  
25,돈내고 스트레스를 받아왔다  이름 믿고 봤다가 낚였다  평식이 믿고 지금 극장에서 보고 있는 중간에 평점 올리는데 평식이 이 야 주어는 없습니다   비추비추 정신건강에 해롭습니다  
26,한국영화 같지 않은 연출전개방식엔딩  시간을 길게할 필요가있었나  
27,구라안치고 영화 엔딩크레딧 올라오자마자  다들 뭐야ㅋ이소리하고 나감  1점도 아깝다 배우들이 아깝다  
28,음ㅋㅋㅋ 영화보고 왜케 기분 나쁘지  지금까지 본 영화중 최악잔인하고 징그럽고 더럽고 무섭고 재미없고 지루하고마지막은 찝찝하고  1점도 주기 아깝다 그냥 훌륭한 배우들 데려다가 쓰레기를 만들었어 그냥 잔인하고 더러운 느낌의 장면을 보여주고 싶었다 그러면 이해할수도  차라리 홍길동 볼껄  솔직히 보고 싶었는데 알바들 대량으로 푼거 보고 영 아니다 싶네요  동진이형 급전 필요함  
29,떡밥만 줄창 던지고 회수는 안되고 에라 모르겠다 반전이라 처먹어라 느낌  황정민은 개연성도 없도 뭣도 없는 역할  한편이야 뭐야 살날릴때 일본놈 억억 하는 건 왜 자꾸 화면에 잡아줌  
30,곡성이 관객을 낚았다  뭘말하고싶은건지전혀모르겠다ㅋㅋㅋㅋ 보고나오는내내너무화남  평론가들도알바인가요  
31,정말 지대로 낚네요 통수영화 지리구연  
32,볼때는 재밌었다 그렇게 끝날지 몰랐으니까  아 믿고보는 황정민인데 ㅠㅠ 안보는게 나을듯너무 열린결말 지루하고 재미없었어요  
33,7천원으로 밥을 사드새오  한개도 아까운데 리뷰는 쓰고싶어서 올립니다 긴장감만계속 올리다가 갑자기 좀비영화 됐다가 결국엔 판타지로본사람들은 알거에요 얼마나 쓰래기영환지  다섯시개봉인데 다섯시전에쓴댓글들이머이리많지 다섯시 삼십분작성된글들은영화가30분짜리인가요세분다좋아하는배우라보러가기는한다만 알바심각하네요  
34,이게 왜 평론가들한테 극찬감이지ㅠㅠㅠ  도대체 왜때문에 평점이 높은건지 이해좀시켜줘요배우들 모두의 연기는 훌륭합니다 그 외엔 좀  
35,별루 피칠갑만 잔뜩구경  반개도 아깝다 쓰레기다  영화끝나고 바로 뭐야ㅡㅡ 라는 소리가 육성으로 나옴어디가 작품성이 뛰어나다는거임걍 조올라 호러물 좀비물관객수 늘릴라고 15세 측정인듯청소년들 보면 안되요그냥 진짜 돈아까운 영화 처음공짜표 생기 
36,천우희에서 끝났어야되 왜 갑자기 또 반전을 만들어서 에혀 좀비는 진짜 에러다ㅡㅡ  왜 곡성인줄 알거 같네 진짜 곡소리나네 아 내 시간  
37,귀신이 예수 흉내내며 육체를 입기위해 사탄에게 사람을 제물로 바치는 인신제사를 모티브로 한 사타니즘 영화 신을 희롱하고 무지한 관객들을 우롱한다 영적인 시각이 없는 사람은 이 영화의 무서움을 알지못한 채 찝찝함만 
38,관객을 악마처럼 손아귀에 가지고 논 나홍진감독에게 찬사를 바칩니다 카메라 앵글 조명 미쟝센까지 첫장면 부터 마지막까지 완벽하게 잘 짜여진 요 근래 한국 영화 최고의 작품입니다  처음에는 자극적이기도 하고 이 미스테리를 어떻게 풀까 기대하면서 f는데 그냥 어이없게 끝나네  0점 이없는게아쉽다  평점 0점이 없어서 1점줍니다처음부터 끝까지 피토하고 죽이고잔인하고 보고나면 남는거없이 찝찝한 영화입니다방금 보고왔는데 아 기분이 더럽습니다스릴러인줄 알았는데 호러물 그것도 수위가 19금 이상인데 애 이따위를 쩝 시간아깝네  의문점은 많은데 설명해주지 않고개연성은 찾아보기  힘들다보고나면 헛웃음만 나오는 영화  관객들을 멘킬 목적으로 찍은 영화라면 그건 대성공이다  
39,죽기 전에 절대 이런 류의 영화를 다시는 보지 말아야겠다고 생각했습니다 모든 정신이 피폐해지는 느낌요즘 영화볼게 없어서 예매율 높은건듯  지루함내용은 그냥저냥 ㅜ 호러 스릴러 좋아해서본건데 솔직히 실망  보지마세요 시간낭비 돈낭비 이런영화 무슨생각으로 만들었는지 한심스럽다정말  이게 어떻게 15세예요잔인한장면 없다고 15세는 말도안됨10대들이 정서적으로 이영화보면 개혼란스러울꺼같은데진짜 찝찝한 영화예요  집에 와서 곱씹어볼수록 정말 별로네요나오자마자 사람들이 시간 아깝다고 부르르 떨었습니다 어찌되었건 개인의 취향을 존중합니다만 시간낭비를 이런 식으로 하지 않기를 권합니다 아무쪼록 고생하신 배우 스탭들의 노고에 최악의영화를봤다 감독이 정신이 이상하다고생각들게하는 돈이아까운영화 후회된다  
40,이 영화 재밌다고 하는 사람들 다시 보게되네요재밌다고 하는 사람들이 무서움  에휴  돈날렸네 ㅡㅡ 200만도 못넘길듯  처음부터 중간까진 웃기고 볼만하다가 중간부터 결말까지 개노답 악지르고 악지르고 악지르다 끝난기분 영화보고 나왔는데 편두통 심해서 약먹음  
