,0
0,열지말라는건 열지말고 만지지말라고 하는건 좀 가만히 냅두자  내가 워렌부인이었으면 다니엘라후드려팼다 진심  제임스완은 이제 직접 감독좀 해라 맨날 제작자로만 돈 넣고 빠지지말고 ㅡㅡ직접 감독안하니까 컨저링2 이후로 다 똥만 싸대고있는데ㅋㅋ이러다 애써만든 시리즈 다망할것같은데 직접 감독은 죽어도안하네  개인적으로 애나벨 발록 등등 모든 시리즈 통틀어서 제일 별로였음ㅜㅜ 잘때 발 잡아끌고 문 쾅 닫고흔한 클리셰 범벅에 뭔가 보여주려나 싶은 시점에 시시하게 끝나는  
1,하지말라는 짓 하면 생기는 최악을 다 보여줌 ㅋ 쉴새없이 몰아치는 공포에  나도모르게 꺕 소리쳐버렸다ㅜㅜ  늑대인간은 대체 왜 나온거냐 ㅋㅋㅋ 자동차 박살내면서 기타한방맞으니까 골로가는거보고 3류영화인줄  전부 나쁜 악령만 있는건 아니였다  
2,본격 저혈압 치료영화 ㄷㄷ  진짜 무섭지않았나요이정도면 무섭게 재밌는데 얼만큼 무서워야 무섭다는거지  
3,완전  기다렸는데 역시 존잼쓰 ㅠㅠ 공포영화는 확실히 컨저링 애나벨이 짱임  조조로 보는데 영화관에 나 혼자ㅠㅠ무서워서 입틀막  조조로 봤는데 전작에 비해선 공포가 덜하지만 스릴감은 여전함 하지만 뭔가 그냥 마무리가 찝찝함ㅠㅠㅠ  1시간 40분 동안 재밌었던 부분이 한군데도 없는 양산형 공포영화 그 자체 답답한 인물 진부한 연출 무서운 영화가 아니라 놀래키는 영화를 만들어야 한다는 감독의 의지까지 정말 최고다  귀가 밝으신 분들은 절대주의 바랍니다깜짝놀랄일이 절대 있을겁니다  무서움보단 놀래킴을 주는 영화 발단 전개 위기 절 결말 구조의 영화 절정의 정이빠진 영화 결말을 급하게 낸 영화 제임스완이 감독인줄 알고봤지만 다른 감독의 작품이었던 영화  
4,심장마사지 받고 싶다면 이 영화 강력추천컨저링 유니버스 좋아한다면 기대감을 낮출 필요있음  다들 개인차가 있겠지만 컨저링 12 다른 애나벨 시리즈보다는 덜 무서웠던 거 같아요 그래듀 코인 귀신은 넘나 뮤서웡  
5,다니엘라 진짜ㅡㅡ 때리고 싶었지  시리즈가 나오면 나올 수 록 퀄리티 떨어지는 듯  
6,애나벨 이제 나이도 있는데 구르고 머리박고 열심히 일했네요 슬슬 쉴 때가 된 거 같습니다  1도안무서움 보면서 졸았음 5000원내고봐서 망정이지 만원내고봤으면 돈아까워서 울었을듯  어젯밤 11시 용산에서 4로 봤습니다 간단하게 설명해드릴게요 이영화 길이가 100분인데요 100분중에 60분은 지루하고 드럽게재미없습니다 진심 그냥 나가고싶을정도 나머지 40분이 공포장면인데 뭐 크게대단할건 전작들과 비교 안되는 노잼 애나벨은 2가 제일 재밌고 무섭다 3은 진짜 실망스러웠고 이거 볼바에 돈을 바닥에 버리는게 더 알차다 1부터 3까지 다 봤는데 3은 진짜 무섭지도않고 다 예상가는 클리셰에 깜놀 포인트에 결 마지막 생일파티때 한번 더 터질 줄 알았는데 너무 허무하게 끝남  되게 스릴있으면서 재밌게 즐기면서 봤네요 전작들도 그랬지만 이번 영화 역시 놀래키는 장면이 많으니 스토리적인 스릴을 추구하시는 분들껜 재미가 반감되긴 하겠지만 그래도 보는걸 추천합니다 마지막에 워렌을 추모하는 글 박물관이 살아있다 공포편 보는느낌 개인적으로 그렇게 무섭지 않았어요 그래도 중반부는 좀 볼만햇는데 결말 너무 시시하게 끝나서 아쉬움 설마 이렇게 끝나지 않겠지 햇는데 그냥 끝나버림 해피엔딩 ㅋㅋㅋㅋ 워렌부부는 안오고 혼자서 해결했네  제임스완 데리고와ㅜㅜㅜ 브룸하우스 제작도 아니고ㅜㅜㅜ  
7,너무 무서워서 너무 힘들었다 그치만 무서운 영화는 무서워야지 ㅠㅠ 애나벨  
8,같은 패턴의 갑툭튀식 놀래키기 언제 어디서 귀신이 나올지 타이밍도 뻔했고 그냥 애나벨이 애나벨 했다  가 결론입니다  처음에 소리안지를려고 입 막던 손 나중에 턱 괴면서 봄 진짜 소리지르는 아무도 없었음 아 있었다 딱 한명ㅋㅋ  조조로  봤는데  무서웠음  비까지 오니 완전 딱이다  애나벨보다 무서운 건 졸리움  악령이라고 무조건 나쁘지는 않구나  흠솔직히 시리즈들을 다봐서 그런가 좀ㄵ이였다  갈수록 퇴화하는거 같다  보는 내내 지루하고 돈 아까움  난 왜 다니엘라가 이하늬로 보이냐  차라리 전편이 더 무서움 너무 기대해서그런가  진짜 2를 보고나서 한껏 기대하고 봤더 내 자신이 한심스러울 정도로 엄청 못 만든 영화 난데없이 빙의된 여자가 엑소시즘 영상 보고 빙의 풀렸다는거도 억지 십자가를 든 손가락마저 다 부러뜨리던게 애나벨인데 인 공포영화계의 마블 제임스완은 공포영화 계의 스탠리  
9,개노잼여자 발암 오졌다  정말 컨저링 유니버스에 명성에 먹물 끼얹는 영화입니다 너무 뻔하고 너무너무 예상이가는 스토리이며 상영시간도 굉장히 짧아 충분한 긴장감과 공포를 느끼기엔 역부족 했으며 연출도 별로였습니다 컨저링 유니버스 팬으로서  다니엘라 개빡치네 진짜  유치해 점점 더 재미없어짐 ㅜㅜ  설마 이게 끝인가 했는데 와 분위기만 줄창 잡다가 어설프게 몇번 놀래키고 끝난다 그냥 초딩용 영화 주디로 나온 아역배우가 이뻐서 별준다 톰크루즈딸 수리인줄 알았음  
